,Transaction,Date,Customer,Item_Code,Brand,Qty
0,sales,01-Jan-23,C1,A1,Hamam,3
1,sales,01-Jan-23,C1,A2,LUX,4
2,sales,01-Jan-23,C1,A3,Park Avenue,2
3,sales,01-Jan-23,C1,A4,Cinthol,10
4,sales,01-Jan-23,C1,A5,Dove,1
5,sales,01-Jan-23,C1,A6,Medimix,1
6,sales,01-Jan-23,C2,A1,Hamam,2
7,sales,01-Jan-23,C2,A2,LUX,3
8,sales,01-Jan-23,C2,A3,Park Avenue,3
9,sales,01-Jan-23,C2,A4,Cinthol,10
10,sales,01-Jan-23,C2,A5,Dove,10
11,sales,01-Jan-23,C2,A6,Medimix,6
12,sales,01-Jan-23,C3,A1,Hamam,7
13,sales,01-Jan-23,C3,A2,LUX,10
14,sales,01-Jan-23,C3,A3,Park Avenue,3
15,sales,01-Jan-23,C3,A4,Cinthol,2
16,sales,01-Jan-23,C3,A5,Dove,5
17,sales,01-Jan-23,C3,A6,Medimix,7
18,sales,01-Jan-23,C4,A1,Hamam,4
19,sales,01-Jan-23,C4,A2,LUX,3
20,sales,01-Jan-23,C4,A3,Park Avenue,3
21,sales,01-Jan-23,C4,A4,Cinthol,10
22,sales,01-Jan-23,C4,A5,Dove,2
23,sales,01-Jan-23,C4,A6,Medimix,4
24,sales,01-Jan-23,C5,A1,Hamam,2
25,sales,01-Jan-23,C5,A2,LUX,5
26,sales,01-Jan-23,C5,A3,Park Avenue,2
27,sales,01-Jan-23,C5,A4,Cinthol,2
28,sales,01-Jan-23,C5,A5,Dove,4
29,sales,01-Jan-23,C5,A6,Medimix,8
30,sales,01-Jan-23,C6,A1,Hamam,1
31,sales,01-Jan-23,C6,A2,LUX,3
32,sales,01-Jan-23,C6,A3,Park Avenue,9
33,sales,01-Jan-23,C6,A4,Cinthol,4
34,sales,01-Jan-23,C6,A5,Dove,3
35,sales,01-Jan-23,C6,A6,Medimix,10
36,sales,01-Jan-23,C7,A1,Hamam,8
37,sales,01-Jan-23,C7,A2,LUX,3
38,sales,01-Jan-23,C7,A3,Park Avenue,10
39,sales,01-Jan-23,C7,A4,Cinthol,10
40,sales,01-Jan-23,C7,A5,Dove,2
41,sales,01-Jan-23,C7,A6,Medimix,7
42,sales,01-Jan-23,C8,A1,Hamam,5
43,sales,01-Jan-23,C8,A2,LUX,6
44,sales,01-Jan-23,C8,A3,Park Avenue,2
45,sales,01-Jan-23,C8,A4,Cinthol,9
46,sales,01-Jan-23,C8,A5,Dove,10
47,sales,01-Jan-23,C8,A6,Medimix,5
48,sales,01-Jan-23,C9,A1,Hamam,1
49,sales,01-Jan-23,C9,A2,LUX,1
50,sales,01-Jan-23,C9,A3,Park Avenue,4
51,sales,01-Jan-23,C9,A4,Cinthol,5
52,sales,01-Jan-23,C9,A5,Dove,3
53,sales,01-Jan-23,C9,A6,Medimix,8
54,sales,02-Jan-23,C1,A1,Hamam,7
55,sales,02-Jan-23,C1,A2,LUX,5
56,sales,02-Jan-23,C1,A3,Park Avenue,7
57,sales,02-Jan-23,C1,A4,Cinthol,5
58,sales,02-Jan-23,C1,A5,Dove,10
59,sales,02-Jan-23,C1,A6,Medimix,4
60,sales,02-Jan-23,C2,A1,Hamam,9
61,sales,02-Jan-23,C2,A2,LUX,9
62,sales,02-Jan-23,C2,A3,Park Avenue,6
63,sales,02-Jan-23,C2,A4,Cinthol,7
64,sales,02-Jan-23,C2,A5,Dove,6
65,sales,02-Jan-23,C2,A6,Medimix,5
66,sales,02-Jan-23,C3,A1,Hamam,4
67,sales,02-Jan-23,C3,A2,LUX,4
68,sales,02-Jan-23,C3,A3,Park Avenue,6
69,sales,02-Jan-23,C3,A4,Cinthol,10
70,sales,02-Jan-23,C3,A5,Dove,9
71,sales,02-Jan-23,C3,A6,Medimix,6
72,sales,02-Jan-23,C4,A1,Hamam,4
73,sales,02-Jan-23,C4,A2,LUX,9
74,sales,02-Jan-23,C4,A3,Park Avenue,2
75,sales,02-Jan-23,C4,A4,Cinthol,8
76,sales,02-Jan-23,C4,A5,Dove,9
77,sales,02-Jan-23,C4,A6,Medimix,6
78,sales,02-Jan-23,C5,A1,Hamam,5
79,sales,02-Jan-23,C5,A2,LUX,6
80,sales,02-Jan-23,C5,A3,Park Avenue,4
81,sales,02-Jan-23,C5,A4,Cinthol,5
82,sales,02-Jan-23,C5,A5,Dove,7
83,sales,02-Jan-23,C5,A6,Medimix,4
84,sales,02-Jan-23,C6,A1,Hamam,4
85,sales,02-Jan-23,C6,A2,LUX,8
86,sales,02-Jan-23,C6,A3,Park Avenue,1
87,sales,02-Jan-23,C6,A4,Cinthol,3
88,sales,02-Jan-23,C6,A5,Dove,1
89,sales,02-Jan-23,C6,A6,Medimix,8
90,sales,02-Jan-23,C7,A1,Hamam,7
91,sales,02-Jan-23,C7,A2,LUX,8
92,sales,02-Jan-23,C7,A3,Park Avenue,6
93,sales,02-Jan-23,C7,A4,Cinthol,7
94,sales,02-Jan-23,C7,A5,Dove,10
95,sales,02-Jan-23,C7,A6,Medimix,1
96,sales,02-Jan-23,C8,A1,Hamam,9
97,sales,02-Jan-23,C8,A2,LUX,5
98,sales,02-Jan-23,C8,A3,Park Avenue,4
99,sales,02-Jan-23,C8,A4,Cinthol,4
100,sales,02-Jan-23,C8,A5,Dove,2
101,sales,02-Jan-23,C8,A6,Medimix,2
102,sales,02-Jan-23,C9,A1,Hamam,7
103,sales,02-Jan-23,C9,A2,LUX,6
104,sales,02-Jan-23,C9,A3,Park Avenue,9
105,sales,02-Jan-23,C9,A4,Cinthol,6
106,sales,02-Jan-23,C9,A5,Dove,9
107,sales,02-Jan-23,C9,A6,Medimix,4
108,sales,03-Jan-23,C1,A1,Hamam,10
109,sales,03-Jan-23,C1,A2,LUX,9
110,sales,03-Jan-23,C1,A3,Park Avenue,5
111,sales,03-Jan-23,C1,A4,Cinthol,8
112,sales,03-Jan-23,C1,A5,Dove,4
113,sales,03-Jan-23,C1,A6,Medimix,3
114,sales,03-Jan-23,C2,A1,Hamam,2
115,sales,03-Jan-23,C2,A2,LUX,8
116,sales,03-Jan-23,C2,A3,Park Avenue,7
117,sales,03-Jan-23,C2,A4,Cinthol,7
118,sales,03-Jan-23,C2,A5,Dove,5
119,sales,03-Jan-23,C2,A6,Medimix,1
120,sales,03-Jan-23,C3,A1,Hamam,9
121,sales,03-Jan-23,C3,A2,LUX,4
122,sales,03-Jan-23,C3,A3,Park Avenue,9
123,sales,03-Jan-23,C3,A4,Cinthol,3
124,sales,03-Jan-23,C3,A5,Dove,5
125,sales,03-Jan-23,C3,A6,Medimix,6
126,sales,03-Jan-23,C4,A1,Hamam,9
127,sales,03-Jan-23,C4,A2,LUX,3
128,sales,03-Jan-23,C4,A3,Park Avenue,7
129,sales,03-Jan-23,C4,A4,Cinthol,3
130,sales,03-Jan-23,C4,A5,Dove,6
131,sales,03-Jan-23,C4,A6,Medimix,3
132,sales,03-Jan-23,C5,A1,Hamam,2
133,sales,03-Jan-23,C5,A2,LUX,3
134,sales,03-Jan-23,C5,A3,Park Avenue,10
135,sales,03-Jan-23,C5,A4,Cinthol,7
136,sales,03-Jan-23,C5,A5,Dove,7
137,sales,03-Jan-23,C5,A6,Medimix,8
138,sales,03-Jan-23,C6,A1,Hamam,1
139,sales,03-Jan-23,C6,A2,LUX,5
140,sales,03-Jan-23,C6,A3,Park Avenue,5
141,sales,03-Jan-23,C6,A4,Cinthol,7
142,sales,03-Jan-23,C6,A5,Dove,5
143,sales,03-Jan-23,C6,A6,Medimix,1
144,sales,03-Jan-23,C7,A1,Hamam,6
145,sales,03-Jan-23,C7,A2,LUX,7
146,sales,03-Jan-23,C7,A3,Park Avenue,1
147,sales,03-Jan-23,C7,A4,Cinthol,4
148,sales,03-Jan-23,C7,A5,Dove,3
149,sales,03-Jan-23,C7,A6,Medimix,9
150,sales,03-Jan-23,C8,A1,Hamam,6
151,sales,03-Jan-23,C8,A2,LUX,8
152,sales,03-Jan-23,C8,A3,Park Avenue,3
153,sales,03-Jan-23,C8,A4,Cinthol,8
154,sales,03-Jan-23,C8,A5,Dove,7
155,sales,03-Jan-23,C8,A6,Medimix,6
156,sales,03-Jan-23,C9,A1,Hamam,1
157,sales,03-Jan-23,C9,A2,LUX,5
158,sales,03-Jan-23,C9,A3,Park Avenue,4
159,sales,03-Jan-23,C9,A4,Cinthol,6
160,sales,03-Jan-23,C9,A5,Dove,2
161,sales,03-Jan-23,C9,A6,Medimix,4
162,sales,04-Jan-23,C1,A1,Hamam,2
163,sales,04-Jan-23,C1,A2,LUX,1
164,sales,04-Jan-23,C1,A3,Park Avenue,5
165,sales,04-Jan-23,C1,A4,Cinthol,6
166,sales,04-Jan-23,C1,A5,Dove,10
167,sales,04-Jan-23,C1,A6,Medimix,1
168,sales,04-Jan-23,C2,A1,Hamam,10
169,sales,04-Jan-23,C2,A2,LUX,1
170,sales,04-Jan-23,C2,A3,Park Avenue,8
171,sales,04-Jan-23,C2,A4,Cinthol,3
172,sales,04-Jan-23,C2,A5,Dove,7
173,sales,04-Jan-23,C2,A6,Medimix,9
174,sales,04-Jan-23,C3,A1,Hamam,10
175,sales,04-Jan-23,C3,A2,LUX,5
176,sales,04-Jan-23,C3,A3,Park Avenue,1
177,sales,04-Jan-23,C3,A4,Cinthol,7
178,sales,04-Jan-23,C3,A5,Dove,1
179,sales,04-Jan-23,C3,A6,Medimix,6
180,sales,04-Jan-23,C4,A1,Hamam,2
181,sales,04-Jan-23,C4,A2,LUX,6
182,sales,04-Jan-23,C4,A3,Park Avenue,1
183,sales,04-Jan-23,C4,A4,Cinthol,9
184,sales,04-Jan-23,C4,A5,Dove,4
185,sales,04-Jan-23,C4,A6,Medimix,6
186,sales,04-Jan-23,C5,A1,Hamam,5
187,sales,04-Jan-23,C5,A2,LUX,6
188,sales,04-Jan-23,C5,A3,Park Avenue,4
189,sales,04-Jan-23,C5,A4,Cinthol,6
190,sales,04-Jan-23,C5,A5,Dove,10
191,sales,04-Jan-23,C5,A6,Medimix,2
192,sales,04-Jan-23,C6,A1,Hamam,8
193,sales,04-Jan-23,C6,A2,LUX,6
194,sales,04-Jan-23,C6,A3,Park Avenue,8
195,sales,04-Jan-23,C6,A4,Cinthol,4
196,sales,04-Jan-23,C6,A5,Dove,4
197,sales,04-Jan-23,C6,A6,Medimix,1
198,sales,04-Jan-23,C7,A1,Hamam,4
199,sales,04-Jan-23,C7,A2,LUX,10
200,sales,04-Jan-23,C7,A3,Park Avenue,3
201,sales,04-Jan-23,C7,A4,Cinthol,3
202,sales,04-Jan-23,C7,A5,Dove,9
203,sales,04-Jan-23,C7,A6,Medimix,2
204,sales,04-Jan-23,C8,A1,Hamam,6
205,sales,04-Jan-23,C8,A2,LUX,6
206,sales,04-Jan-23,C8,A3,Park Avenue,7
207,sales,04-Jan-23,C8,A4,Cinthol,7
208,sales,04-Jan-23,C8,A5,Dove,2
209,sales,04-Jan-23,C8,A6,Medimix,4
210,sales,04-Jan-23,C9,A1,Hamam,5
211,sales,04-Jan-23,C9,A2,LUX,7
212,sales,04-Jan-23,C9,A3,Park Avenue,2
213,sales,04-Jan-23,C9,A4,Cinthol,4
214,sales,04-Jan-23,C9,A5,Dove,2
215,sales,04-Jan-23,C9,A6,Medimix,1
216,sales,05-Jan-23,C1,A1,Hamam,6
217,sales,05-Jan-23,C1,A2,LUX,3
218,sales,05-Jan-23,C1,A3,Park Avenue,8
219,sales,05-Jan-23,C1,A4,Cinthol,1
220,sales,05-Jan-23,C1,A5,Dove,7
221,sales,05-Jan-23,C1,A6,Medimix,8
222,sales,05-Jan-23,C2,A1,Hamam,7
223,sales,05-Jan-23,C2,A2,LUX,5
224,sales,05-Jan-23,C2,A3,Park Avenue,8
225,sales,05-Jan-23,C2,A4,Cinthol,4
226,sales,05-Jan-23,C2,A5,Dove,4
227,sales,05-Jan-23,C2,A6,Medimix,3
228,sales,05-Jan-23,C3,A1,Hamam,2
229,sales,05-Jan-23,C3,A2,LUX,9
230,sales,05-Jan-23,C3,A3,Park Avenue,9
231,sales,05-Jan-23,C3,A4,Cinthol,6
232,sales,05-Jan-23,C3,A5,Dove,7
233,sales,05-Jan-23,C3,A6,Medimix,1
234,sales,05-Jan-23,C4,A1,Hamam,1
235,sales,05-Jan-23,C4,A2,LUX,9
236,sales,05-Jan-23,C4,A3,Park Avenue,7
237,sales,05-Jan-23,C4,A4,Cinthol,5
238,sales,05-Jan-23,C4,A5,Dove,2
239,sales,05-Jan-23,C4,A6,Medimix,6
240,sales,05-Jan-23,C5,A1,Hamam,6
241,sales,05-Jan-23,C5,A2,LUX,4
242,sales,05-Jan-23,C5,A3,Park Avenue,10
243,sales,05-Jan-23,C5,A4,Cinthol,6
244,sales,05-Jan-23,C5,A5,Dove,9
245,sales,05-Jan-23,C5,A6,Medimix,10
246,sales,05-Jan-23,C6,A1,Hamam,5
247,sales,05-Jan-23,C6,A2,LUX,9
248,sales,05-Jan-23,C6,A3,Park Avenue,2
249,sales,05-Jan-23,C6,A4,Cinthol,4
250,sales,05-Jan-23,C6,A5,Dove,10
251,sales,05-Jan-23,C6,A6,Medimix,4
252,sales,05-Jan-23,C7,A1,Hamam,7
253,sales,05-Jan-23,C7,A2,LUX,6
254,sales,05-Jan-23,C7,A3,Park Avenue,2
255,sales,05-Jan-23,C7,A4,Cinthol,3
256,sales,05-Jan-23,C7,A5,Dove,9
257,sales,05-Jan-23,C7,A6,Medimix,6
258,sales,05-Jan-23,C8,A1,Hamam,8
259,sales,05-Jan-23,C8,A2,LUX,4
260,sales,05-Jan-23,C8,A3,Park Avenue,8
261,sales,05-Jan-23,C8,A4,Cinthol,4
262,sales,05-Jan-23,C8,A5,Dove,5
263,sales,05-Jan-23,C8,A6,Medimix,3
264,sales,05-Jan-23,C9,A1,Hamam,2
265,sales,05-Jan-23,C9,A2,LUX,8
266,sales,05-Jan-23,C9,A3,Park Avenue,8
267,sales,05-Jan-23,C9,A4,Cinthol,3
268,sales,05-Jan-23,C9,A5,Dove,5
269,sales,05-Jan-23,C9,A6,Medimix,3
270,sales,06-Jan-23,C1,A1,Hamam,6
271,sales,06-Jan-23,C1,A2,LUX,10
272,sales,06-Jan-23,C1,A3,Park Avenue,5
273,sales,06-Jan-23,C1,A4,Cinthol,2
