Transaction,Date,Customer,Item_Code,Brand,Qty,Unit_Price,Total_Price
sales,01-Jan-23,C1,A1,Hamam,3,10,30
sales,01-Jan-23,C1,A2,LUX,4,10,40
sales,01-Jan-23,C1,A3,Park Avenue,2,10,20
sales,01-Jan-23,C1,A4,Cinthol,10,10,100
sales,01-Jan-23,C1,A5,Dove,1,10,10
sales,01-Jan-23,C1,A6,Medimix,1,10,10
sales,01-Jan-23,C2,A1,Hamam,2,10,20
sales,01-Jan-23,C2,A2,LUX,3,10,30
sales,01-Jan-23,C2,A3,Park Avenue,3,10,30
sales,01-Jan-23,C2,A4,Cinthol,10,10,100
sales,01-Jan-23,C2,A5,Dove,10,10,100
sales,01-Jan-23,C2,A6,Medimix,6,10,60
sales,01-Jan-23,C3,A1,Hamam,7,10,70
sales,01-Jan-23,C3,A2,LUX,10,10,100
sales,01-Jan-23,C3,A3,Park Avenue,3,10,30
sales,01-Jan-23,C3,A4,Cinthol,2,10,20
sales,01-Jan-23,C3,A5,Dove,5,10,50
sales,01-Jan-23,C3,A6,Medimix,7,10,70
sales,01-Jan-23,C4,A1,Hamam,4,10,40
sales,01-Jan-23,C4,A2,LUX,3,10,30
sales,01-Jan-23,C4,A3,Park Avenue,3,10,30
sales,01-Jan-23,C4,A4,Cinthol,10,10,100
sales,01-Jan-23,C4,A5,Dove,2,10,20
sales,01-Jan-23,C4,A6,Medimix,4,10,40
sales,01-Jan-23,C5,A1,Hamam,2,10,20
sales,01-Jan-23,C5,A2,LUX,5,10,50
sales,01-Jan-23,C5,A3,Park Avenue,2,10,20
sales,01-Jan-23,C5,A4,Cinthol,2,10,20
sales,01-Jan-23,C5,A5,Dove,4,10,40
sales,01-Jan-23,C5,A6,Medimix,8,10,80
sales,01-Jan-23,C6,A1,Hamam,1,10,10
sales,01-Jan-23,C6,A2,LUX,3,10,30
sales,01-Jan-23,C6,A3,Park Avenue,9,10,90
sales,01-Jan-23,C6,A4,Cinthol,4,10,40
sales,01-Jan-23,C6,A5,Dove,3,10,30
sales,01-Jan-23,C6,A6,Medimix,10,10,100
sales,01-Jan-23,C7,A1,Hamam,8,10,80
