Transaction,Date,Customer,Item_Code,Brand,Qty,Unit_Price,Total_Price,Stock_Remaining
sales,01-Jan-23,C1,A1,Hamam,8,10,80,992
sales,01-Jan-23,C1,A2,LUX,6,10,60,994
sales,01-Jan-23,C1,A3,Park Avenue,8,10,80,992
sales,01-Jan-23,C1,A4,Cinthol,9,10,90,991
sales,01-Jan-23,C1,A5,Dove,9,10,90,991
sales,01-Jan-23,C1,A6,Medimix,9,10,90,991
sales,01-Jan-23,C2,A1,Hamam,9,10,90,983
sales,01-Jan-23,C2,A2,LUX,7,10,70,987
sales,01-Jan-23,C2,A3,Park Avenue,3,10,30,989
sales,01-Jan-23,C2,A4,Cinthol,10,10,100,981
sales,01-Jan-23,C2,A5,Dove,4,10,40,987
sales,01-Jan-23,C2,A6,Medimix,9,10,90,982
sales,01-Jan-23,C3,A1,Hamam,2,10,20,981
sales,01-Jan-23,C3,A2,LUX,3,10,30,984
sales,01-Jan-23,C3,A3,Park Avenue,2,10,20,987
sales,01-Jan-23,C3,A4,Cinthol,6,10,60,975
sales,01-Jan-23,C3,A5,Dove,4,10,40,983
sales,01-Jan-23,C3,A6,Medimix,1,10,10,981
sales,01-Jan-23,C4,A1,Hamam,6,10,60,975
sales,01-Jan-23,C4,A2,LUX,2,10,20,982
sales,01-Jan-23,C4,A3,Park Avenue,7,10,70,980
sales,01-Jan-23,C4,A4,Cinthol,9,10,90,966
sales,01-Jan-23,C4,A5,Dove,10,10,100,973
sales,01-Jan-23,C4,A6,Medimix,9,10,90,972
sales,01-Jan-23,C5,A1,Hamam,1,10,10,974
sales,01-Jan-23,C5,A2,LUX,3,10,30,979
sales,01-Jan-23,C5,A3,Park Avenue,1,10,10,979
sales,01-Jan-23,C5,A4,Cinthol,10,10,100,956
sales,01-Jan-23,C5,A5,Dove,5,10,50,968
sales,01-Jan-23,C5,A6,Medimix,1,10,10,971
sales,01-Jan-23,C6,A1,Hamam,10,10,100,964
sales,01-Jan-23,C6,A2,LUX,3,10,30,976
sales,01-Jan-23,C6,A3,Park Avenue,9,10,90,970
sales,01-Jan-23,C6,A4,Cinthol,7,10,70,949
sales,01-Jan-23,C6,A5,Dove,8,10,80,960
sales,01-Jan-23,C6,A6,Medimix,4,10,40,967
sales,01-Jan-23,C7,A1,Hamam,3,10,30,961
sales,01-Jan-23,C7,A2,LUX,8,10,80,968
sales,01-Jan-23,C7,A3,Park Avenue,1,10,10,969
sales,01-Jan-23,C7,A4,Cinthol,2,10,20,947
sales,01-Jan-23,C7,A5,Dove,4,10,40,956
sales,01-Jan-23,C7,A6,Medimix,8,10,80,959
sales,01-Jan-23,C8,A1,Hamam,6,10,60,955
sales,01-Jan-23,C8,A2,LUX,7,10,70,961
sales,01-Jan-23,C8,A3,Park Avenue,9,10,90,960
sales,01-Jan-23,C8,A4,Cinthol,6,10,60,941
sales,01-Jan-23,C8,A5,Dove,9,10,90,947
sales,01-Jan-23,C8,A6,Medimix,9,10,90,950
sales,01-Jan-23,C9,A1,Hamam,6,10,60,949
sales,01-Jan-23,C9,A2,LUX,7,10,70,954
sales,01-Jan-23,C9,A3,Park Avenue,6,10,60,954
sales,01-Jan-23,C9,A4,Cinthol,10,10,100,931
sales,01-Jan-23,C9,A5,Dove,2,10,20,945
sales,01-Jan-23,C9,A6,Medimix,6,10,60,944
sales,02-Jan-23,C1,A1,Hamam,7,10,70,942
sales,02-Jan-23,C1,A2,LUX,4,10,40,950
sales,02-Jan-23,C1,A3,Park Avenue,3,10,30,951
sales,02-Jan-23,C1,A4,Cinthol,8,10,80,923
sales,02-Jan-23,C1,A5,Dove,2,10,20,943
sales,02-Jan-23,C1,A6,Medimix,6,10,60,938
sales,02-Jan-23,C2,A1,Hamam,4,10,40,938
sales,02-Jan-23,C2,A2,LUX,8,10,80,942
sales,02-Jan-23,C2,A3,Park Avenue,7,10,70,944
sales,02-Jan-23,C2,A4,Cinthol,7,10,70,916
sales,02-Jan-23,C2,A5,Dove,2,10,20,941
sales,02-Jan-23,C2,A6,Medimix,3,10,30,935
sales,02-Jan-23,C3,A1,Hamam,8,10,80,930
sales,02-Jan-23,C3,A2,LUX,9,10,90,933
sales,02-Jan-23,C3,A3,Park Avenue,9,10,90,935
sales,02-Jan-23,C3,A4,Cinthol,4,10,40,912
sales,02-Jan-23,C3,A5,Dove,6,10,60,935
sales,02-Jan-23,C3,A6,Medimix,8,10,80,927
sales,02-Jan-23,C4,A1,Hamam,8,10,80,922
sales,02-Jan-23,C4,A2,LUX,5,10,50,928
sales,02-Jan-23,C4,A3,Park Avenue,10,10,100,925
sales,02-Jan-23,C4,A4,Cinthol,5,10,50,907
sales,02-Jan-23,C4,A5,Dove,2,10,20,933
sales,02-Jan-23,C4,A6,Medimix,10,10,100,917
sales,02-Jan-23,C5,A1,Hamam,3,10,30,919
sales,02-Jan-23,C5,A2,LUX,3,10,30,925
sales,02-Jan-23,C5,A3,Park Avenue,2,10,20,923
sales,02-Jan-23,C5,A4,Cinthol,6,10,60,901
sales,02-Jan-23,C5,A5,Dove,3,10,30,930
sales,02-Jan-23,C5,A6,Medimix,5,10,50,912
sales,02-Jan-23,C6,A1,Hamam,9,10,90,910
sales,02-Jan-23,C6,A2,LUX,3,10,30,922
sales,02-Jan-23,C6,A3,Park Avenue,4,10,40,919
sales,02-Jan-23,C6,A4,Cinthol,6,10,60,895
sales,02-Jan-23,C6,A5,Dove,6,10,60,924
sales,02-Jan-23,C6,A6,Medimix,3,10,30,909
sales,02-Jan-23,C7,A1,Hamam,5,10,50,905
sales,02-Jan-23,C7,A2,LUX,10,10,100,912
sales,02-Jan-23,C7,A3,Park Avenue,5,10,50,914
sales,02-Jan-23,C7,A4,Cinthol,9,10,90,886
sales,02-Jan-23,C7,A5,Dove,3,10,30,921
sales,02-Jan-23,C7,A6,Medimix,4,10,40,905
sales,02-Jan-23,C8,A1,Hamam,6,10,60,899
sales,02-Jan-23,C8,A2,LUX,4,10,40,908
sales,02-Jan-23,C8,A3,Park Avenue,3,10,30,911
sales,02-Jan-23,C8,A4,Cinthol,6,10,60,880
sales,02-Jan-23,C8,A5,Dove,10,10,100,911
sales,02-Jan-23,C8,A6,Medimix,7,10,70,898
sales,02-Jan-23,C9,A1,Hamam,8,10,80,891
sales,02-Jan-23,C9,A2,LUX,8,10,80,900
sales,02-Jan-23,C9,A3,Park Avenue,9,10,90,902
sales,02-Jan-23,C9,A4,Cinthol,10,10,100,870
sales,02-Jan-23,C9,A5,Dove,9,10,90,902
sales,02-Jan-23,C9,A6,Medimix,9,10,90,889
sales,03-Jan-23,C1,A1,Hamam,7,10,70,884
sales,03-Jan-23,C1,A2,LUX,2,10,20,898
sales,03-Jan-23,C1,A3,Park Avenue,9,10,90,893
sales,03-Jan-23,C1,A4,Cinthol,3,10,30,867
sales,03-Jan-23,C1,A5,Dove,8,10,80,894
sales,03-Jan-23,C1,A6,Medimix,4,10,40,885
sales,03-Jan-23,C2,A1,Hamam,3,10,30,881
sales,03-Jan-23,C2,A2,LUX,8,10,80,890
sales,03-Jan-23,C2,A3,Park Avenue,5,10,50,888
sales,03-Jan-23,C2,A4,Cinthol,6,10,60,861
sales,03-Jan-23,C2,A5,Dove,5,10,50,889
sales,03-Jan-23,C2,A6,Medimix,5,10,50,880
sales,03-Jan-23,C3,A1,Hamam,6,10,60,875
sales,03-Jan-23,C3,A2,LUX,2,10,20,888
sales,03-Jan-23,C3,A3,Park Avenue,7,10,70,881
sales,03-Jan-23,C3,A4,Cinthol,5,10,50,856
sales,03-Jan-23,C3,A5,Dove,9,10,90,880
sales,03-Jan-23,C3,A6,Medimix,9,10,90,871
sales,03-Jan-23,C4,A1,Hamam,5,10,50,870
sales,03-Jan-23,C4,A2,LUX,9,10,90,879
sales,03-Jan-23,C4,A3,Park Avenue,5,10,50,876
sales,03-Jan-23,C4,A4,Cinthol,8,10,80,848
sales,03-Jan-23,C4,A5,Dove,7,10,70,873
sales,03-Jan-23,C4,A6,Medimix,3,10,30,868
sales,03-Jan-23,C5,A1,Hamam,2,10,20,868
sales,03-Jan-23,C5,A2,LUX,5,10,50,874
sales,03-Jan-23,C5,A3,Park Avenue,9,10,90,867
sales,03-Jan-23,C5,A4,Cinthol,9,10,90,839
sales,03-Jan-23,C5,A5,Dove,10,10,100,863
sales,03-Jan-23,C5,A6,Medimix,1,10,10,867
sales,03-Jan-23,C6,A1,Hamam,10,10,100,858
sales,03-Jan-23,C6,A2,LUX,4,10,40,870
sales,03-Jan-23,C6,A3,Park Avenue,8,10,80,859
sales,03-Jan-23,C6,A4,Cinthol,4,10,40,835
sales,03-Jan-23,C6,A5,Dove,6,10,60,857
sales,03-Jan-23,C6,A6,Medimix,1,10,10,866
sales,03-Jan-23,C7,A1,Hamam,7,10,70,851
sales,03-Jan-23,C7,A2,LUX,4,10,40,866
sales,03-Jan-23,C7,A3,Park Avenue,9,10,90,850
sales,03-Jan-23,C7,A4,Cinthol,4,10,40,831
sales,03-Jan-23,C7,A5,Dove,1,10,10,856
sales,03-Jan-23,C7,A6,Medimix,10,10,100,856
sales,03-Jan-23,C8,A1,Hamam,3,10,30,848
sales,03-Jan-23,C8,A2,LUX,1,10,10,865
sales,03-Jan-23,C8,A3,Park Avenue,1,10,10,849
sales,03-Jan-23,C8,A4,Cinthol,1,10,10,830
sales,03-Jan-23,C8,A5,Dove,1,10,10,855
sales,03-Jan-23,C8,A6,Medimix,5,10,50,851
sales,03-Jan-23,C9,A1,Hamam,5,10,50,843
sales,03-Jan-23,C9,A2,LUX,8,10,80,857
sales,03-Jan-23,C9,A3,Park Avenue,10,10,100,839
sales,03-Jan-23,C9,A4,Cinthol,2,10,20,828
sales,03-Jan-23,C9,A5,Dove,4,10,40,851
sales,03-Jan-23,C9,A6,Medimix,3,10,30,848
sales,04-Jan-23,C1,A1,Hamam,9,10,90,834
sales,04-Jan-23,C1,A2,LUX,8,10,80,849
sales,04-Jan-23,C1,A3,Park Avenue,3,10,30,836
sales,04-Jan-23,C1,A4,Cinthol,8,10,80,820
sales,04-Jan-23,C1,A5,Dove,4,10,40,847
sales,04-Jan-23,C1,A6,Medimix,10,10,100,838
sales,04-Jan-23,C2,A1,Hamam,2,10,20,832
sales,04-Jan-23,C2,A2,LUX,7,10,70,842
sales,04-Jan-23,C2,A3,Park Avenue,10,10,100,826
sales,04-Jan-23,C2,A4,Cinthol,2,10,20,818
sales,04-Jan-23,C2,A5,Dove,10,10,100,837
sales,04-Jan-23,C2,A6,Medimix,6,10,60,832
sales,04-Jan-23,C3,A1,Hamam,1,10,10,831
sales,04-Jan-23,C3,A2,LUX,8,10,80,834
sales,04-Jan-23,C3,A3,Park Avenue,1,10,10,825
sales,04-Jan-23,C3,A4,Cinthol,7,10,70,811
sales,04-Jan-23,C3,A5,Dove,8,10,80,829
