Date,Item_Code,Brand
30-Apr-23,A2,LUX
30-Apr-23,A6,Medimix
30-Apr-23,A2,LUX
30-Apr-23,A6,Medimix
30-Apr-23,A2,LUX
30-Apr-23,A6,Medimix
30-Apr-23,A2,LUX
30-Apr-23,A5,Dove
30-Apr-23,A6,Medimix
24-May-23,A2,LUX
25-May-23,A2,LUX
25-May-23,A2,LUX
25-May-23,A2,LUX
25-May-23,A2,LUX
25-May-23,A2,LUX
25-May-23,A5,Dove
25-May-23,A6,Medimix
25-May-23,A2,LUX
25-May-23,A5,Dove
25-May-23,A6,Medimix
25-May-23,A2,LUX
25-May-23,A4,Cinthol
25-May-23,A5,Dove
25-May-23,A6,Medimix
25-May-23,A2,LUX
25-May-23,A4,Cinthol
25-May-23,A5,Dove
25-May-23,A6,Medimix
25-May-23,A2,LUX
25-May-23,A4,Cinthol
25-May-23,A5,Dove
25-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
26-May-23,A2,LUX
26-May-23,A4,Cinthol
26-May-23,A5,Dove
26-May-23,A6,Medimix
27-May-23,A2,LUX
27-May-23,A3,Park Avenue
27-May-23,A4,Cinthol
