,Transaction,Date,Customer,Item_Code,Brand,Qty,Stock_Remaining
0,sales,01-Jan-23,C1,A1,Hamam,4,1996
1,sales,01-Jan-23,C1,A2,LUX,4,1996
2,sales,01-Jan-23,C1,A3,Park Avenue,9,1991
3,sales,01-Jan-23,C1,A4,Cinthol,8,1992
4,sales,01-Jan-23,C1,A5,Dove,9,1991
5,sales,01-Jan-23,C1,A6,Medimix,9,1991
6,sales,01-Jan-23,C2,A1,Hamam,6,1990
7,sales,01-Jan-23,C2,A2,LUX,10,1986
8,sales,01-Jan-23,C2,A3,Park Avenue,5,1986
9,sales,01-Jan-23,C2,A4,Cinthol,5,1987
10,sales,01-Jan-23,C2,A5,Dove,9,1982
11,sales,01-Jan-23,C2,A6,Medimix,1,1990
12,sales,01-Jan-23,C3,A1,Hamam,4,1986
13,sales,01-Jan-23,C3,A2,LUX,6,1980
14,sales,01-Jan-23,C3,A3,Park Avenue,4,1982
15,sales,01-Jan-23,C3,A4,Cinthol,9,1978
16,sales,01-Jan-23,C3,A5,Dove,2,1980
17,sales,01-Jan-23,C3,A6,Medimix,1,1989
18,sales,01-Jan-23,C4,A1,Hamam,1,1985
19,sales,01-Jan-23,C4,A2,LUX,3,1977
20,sales,01-Jan-23,C4,A3,Park Avenue,6,1976
21,sales,01-Jan-23,C4,A4,Cinthol,8,1970
22,sales,01-Jan-23,C4,A5,Dove,1,1979
23,sales,01-Jan-23,C4,A6,Medimix,7,1982
24,sales,01-Jan-23,C5,A1,Hamam,10,1975
25,sales,01-Jan-23,C5,A2,LUX,10,1967
26,sales,01-Jan-23,C5,A3,Park Avenue,9,1967
27,sales,01-Jan-23,C5,A4,Cinthol,8,1962
28,sales,01-Jan-23,C5,A5,Dove,2,1977
29,sales,01-Jan-23,C5,A6,Medimix,3,1979
30,sales,01-Jan-23,C6,A1,Hamam,6,1969
31,sales,01-Jan-23,C6,A2,LUX,5,1962
32,sales,01-Jan-23,C6,A3,Park Avenue,6,1961
33,sales,01-Jan-23,C6,A4,Cinthol,5,1957
34,sales,01-Jan-23,C6,A5,Dove,8,1969
35,sales,01-Jan-23,C6,A6,Medimix,3,1976
36,sales,01-Jan-23,C7,A1,Hamam,1,1968
37,sales,01-Jan-23,C7,A2,LUX,10,1952
38,sales,01-Jan-23,C7,A3,Park Avenue,7,1954
39,sales,01-Jan-23,C7,A4,Cinthol,7,1950
40,sales,01-Jan-23,C7,A5,Dove,10,1959
41,sales,01-Jan-23,C7,A6,Medimix,3,1973
42,sales,01-Jan-23,C8,A1,Hamam,10,1958
43,sales,01-Jan-23,C8,A2,LUX,2,1950
44,sales,01-Jan-23,C8,A3,Park Avenue,7,1947
45,sales,01-Jan-23,C8,A4,Cinthol,5,1945
46,sales,01-Jan-23,C8,A5,Dove,4,1955
47,sales,01-Jan-23,C8,A6,Medimix,7,1966
48,sales,01-Jan-23,C9,A1,Hamam,9,1949
49,sales,01-Jan-23,C9,A2,LUX,4,1946
50,sales,01-Jan-23,C9,A3,Park Avenue,9,1938
51,sales,01-Jan-23,C9,A4,Cinthol,6,1939
52,sales,01-Jan-23,C9,A5,Dove,7,1948
53,sales,01-Jan-23,C9,A6,Medimix,1,1965
54,sales,02-Jan-23,C1,A1,Hamam,2,1947
55,sales,02-Jan-23,C1,A2,LUX,5,1941
56,sales,02-Jan-23,C1,A3,Park Avenue,5,1933
57,sales,02-Jan-23,C1,A4,Cinthol,8,1931
58,sales,02-Jan-23,C1,A5,Dove,3,1945
59,sales,02-Jan-23,C1,A6,Medimix,3,1962
60,sales,02-Jan-23,C2,A1,Hamam,9,1938
61,sales,02-Jan-23,C2,A2,LUX,9,1932
62,sales,02-Jan-23,C2,A3,Park Avenue,2,1931
63,sales,02-Jan-23,C2,A4,Cinthol,7,1924
64,sales,02-Jan-23,C2,A5,Dove,5,1940
65,sales,02-Jan-23,C2,A6,Medimix,9,1953
66,sales,02-Jan-23,C3,A1,Hamam,2,1936
