Transaction,Date,Customer,Item_Code,Brand,Qty,Unit_Price,Total_Price,Stock_Remaining
sales,01-Jan-23,C1,A1,Hamam,4,10,40,1996
sales,01-Jan-23,C1,A2,LUX,4,10,40,1996
sales,01-Jan-23,C1,A3,Park Avenue,9,10,90,1991
sales,01-Jan-23,C1,A4,Cinthol,8,10,80,1992
sales,01-Jan-23,C1,A5,Dove,9,10,90,1991
sales,01-Jan-23,C1,A6,Medimix,9,10,90,1991
sales,01-Jan-23,C2,A1,Hamam,6,10,60,1990
sales,01-Jan-23,C2,A2,LUX,10,10,100,1986
sales,01-Jan-23,C2,A3,Park Avenue,5,10,50,1986
sales,01-Jan-23,C2,A4,Cinthol,5,10,50,1987
sales,01-Jan-23,C2,A5,Dove,9,10,90,1982
sales,01-Jan-23,C2,A6,Medimix,1,10,10,1990
sales,01-Jan-23,C3,A1,Hamam,4,10,40,1986
sales,01-Jan-23,C3,A2,LUX,6,10,60,1980
sales,01-Jan-23,C3,A3,Park Avenue,4,10,40,1982
sales,01-Jan-23,C3,A4,Cinthol,9,10,90,1978
sales,01-Jan-23,C3,A5,Dove,2,10,20,1980
sales,01-Jan-23,C3,A6,Medimix,1,10,10,1989
sales,01-Jan-23,C4,A1,Hamam,1,10,10,1985
sales,01-Jan-23,C4,A2,LUX,3,10,30,1977
sales,01-Jan-23,C4,A3,Park Avenue,6,10,60,1976
sales,01-Jan-23,C4,A4,Cinthol,8,10,80,1970
sales,01-Jan-23,C4,A5,Dove,1,10,10,1979
sales,01-Jan-23,C4,A6,Medimix,7,10,70,1982
sales,01-Jan-23,C5,A1,Hamam,10,10,100,1975
sales,01-Jan-23,C5,A2,LUX,10,10,100,1967
sales,01-Jan-23,C5,A3,Park Avenue,9,10,90,1967
sales,01-Jan-23,C5,A4,Cinthol,8,10,80,1962
sales,01-Jan-23,C5,A5,Dove,2,10,20,1977
sales,01-Jan-23,C5,A6,Medimix,3,10,30,1979
sales,01-Jan-23,C6,A1,Hamam,6,10,60,1969
sales,01-Jan-23,C6,A2,LUX,5,10,50,1962
sales,01-Jan-23,C6,A3,Park Avenue,6,10,60,1961
sales,01-Jan-23,C6,A4,Cinthol,5,10,50,1957
sales,01-Jan-23,C6,A5,Dove,8,10,80,1969
sales,01-Jan-23,C6,A6,Medimix,3,10,30,1976
sales,01-Jan-23,C7,A1,Hamam,1,10,10,1968
sales,01-Jan-23,C7,A2,LUX,10,10,100,1952
sales,01-Jan-23,C7,A3,Park Avenue,7,10,70,1954
sales,01-Jan-23,C7,A4,Cinthol,7,10,70,1950
sales,01-Jan-23,C7,A5,Dove,10,10,100,1959
sales,01-Jan-23,C7,A6,Medimix,3,10,30,1973
sales,01-Jan-23,C8,A1,Hamam,10,10,100,1958
sales,01-Jan-23,C8,A2,LUX,2,10,20,1950
sales,01-Jan-23,C8,A3,Park Avenue,7,10,70,1947
sales,01-Jan-23,C8,A4,Cinthol,5,10,50,1945
sales,01-Jan-23,C8,A5,Dove,4,10,40,1955
sales,01-Jan-23,C8,A6,Medimix,7,10,70,1966
sales,01-Jan-23,C9,A1,Hamam,9,10,90,1949
sales,01-Jan-23,C9,A2,LUX,4,10,40,1946
sales,01-Jan-23,C9,A3,Park Avenue,9,10,90,1938
sales,01-Jan-23,C9,A4,Cinthol,6,10,60,1939
sales,01-Jan-23,C9,A5,Dove,7,10,70,1948
sales,01-Jan-23,C9,A6,Medimix,1,10,10,1965
sales,02-Jan-23,C1,A1,Hamam,2,10,20,1947
sales,02-Jan-23,C1,A2,LUX,5,10,50,1941
sales,02-Jan-23,C1,A3,Park Avenue,5,10,50,1933
sales,02-Jan-23,C1,A4,Cinthol,8,10,80,1931
sales,02-Jan-23,C1,A5,Dove,3,10,30,1945
sales,02-Jan-23,C1,A6,Medimix,3,10,30,1962
sales,02-Jan-23,C2,A1,Hamam,9,10,90,1938
sales,02-Jan-23,C2,A2,LUX,9,10,90,1932
sales,02-Jan-23,C2,A3,Park Avenue,2,10,20,1931
sales,02-Jan-23,C2,A4,Cinthol,7,10,70,1924
sales,02-Jan-23,C2,A5,Dove,5,10,50,1940
sales,02-Jan-23,C2,A6,Medimix,9,10,90,1953
sales,02-Jan-23,C3,A1,Hamam,2,10,20,1936
sales,02-Jan-23,C3,A2,LUX,1,10,10,1931
sales,02-Jan-23,C3,A3,Park Avenue,4,10,40,1927
